Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena,Game ID,Cuota_L,Cuota_V
"Fri, Nov 19, 2021",8:00p,Oklahoma City Thunder,89,Milwaukee Bucks,96,https://www.basketball-reference.com/boxscores/202111190MIL.html,"17,341",2:11,Fiserv Forum,Fri_Nov_19_2021_Milwaukee_Bucks,,
"Fri, Nov 19, 2021",8:00p,Los Angeles Clippers,81,New Orleans Pelicans,94,https://www.basketball-reference.com/boxscores/202111190NOP.html,"15,274",1:55,Smoothie King Center,Fri_Nov_19_2021_New_Orleans_Pelicans,,
"Fri, Nov 19, 2021",9:00p,Chicago Bulls,114,Denver Nuggets,108,https://www.basketball-reference.com/boxscores/202111190DEN.html,"19,520",2:12,Ball Arena,Fri_Nov_19_2021_Denver_Nuggets,,
"Fri, Nov 19, 2021",10:00p,Dallas Mavericks,104,Phoenix Suns,112,https://www.basketball-reference.com/boxscores/202111190PHO.html,"17,071",2:14,Phoenix Suns Arena,Fri_Nov_19_2021_Phoenix_Suns,,
"Fri, Nov 19, 2021",10:00p,Toronto Raptors,108,Sacramento Kings,89,https://www.basketball-reference.com/boxscores/202111190SAC.html,"13,159",2:08,Golden 1 Center,Fri_Nov_19_2021_Sacramento_Kings,,
"Sat, Nov 20, 2021",5:00p,Houston Rockets,99,New York Knicks,106,https://www.basketball-reference.com/boxscores/202111200NYK.html,"19,812",2:24,Madison Square Garden (IV),Sat_Nov_20_2021_New_York_Knicks,,
"Sat, Nov 20, 2021",7:00p,New Orleans Pelicans,94,Indiana Pacers,111,https://www.basketball-reference.com/boxscores/202111200IND.html,"15,081",2:03,Gainbridge Fieldhouse,Sat_Nov_20_2021_Indiana_Pacers,,
"Sat, Nov 20, 2021",7:00p,Miami Heat,100,Washington Wizards,103,https://www.basketball-reference.com/boxscores/202111200WAS.html,"20,476",2:21,Capital One Arena,Sat_Nov_20_2021_Washington_Wizards,,
"Sat, Nov 20, 2021",7:30p,Charlotte Hornets,105,Atlanta Hawks,115,https://www.basketball-reference.com/boxscores/202111200ATL.html,"17,320",2:08,State Farm Arena,Sat_Nov_20_2021_Atlanta_Hawks,,
"Sat, Nov 20, 2021",7:30p,Oklahoma City Thunder,105,Boston Celtics,111,https://www.basketball-reference.com/boxscores/202111200BOS.html,"19,156",1:58,TD Garden,Sat_Nov_20_2021_Boston_Celtics,,
"Sat, Nov 20, 2021",8:00p,Orlando Magic,108,Milwaukee Bucks,117,https://www.basketball-reference.com/boxscores/202111200MIL.html,"17,341",2:17,Fiserv Forum,Sat_Nov_20_2021_Milwaukee_Bucks,,
"Sat, Nov 20, 2021",8:00p,Memphis Grizzlies,95,Minnesota Timberwolves,138,https://www.basketball-reference.com/boxscores/202111200MIN.html,"17,136",2:20,Target Center,Sat_Nov_20_2021_Minnesota_Timberwolves,,
"Sat, Nov 20, 2021",10:00p,Philadelphia 76ers,111,Portland Trail Blazers,118,https://www.basketball-reference.com/boxscores/202111200POR.html,"17,027",2:16,Moda Center,Sat_Nov_20_2021_Portland_Trail_Blazers,,
"Sat, Nov 20, 2021",10:00p,Utah Jazz,123,Sacramento Kings,105,https://www.basketball-reference.com/boxscores/202111200SAC.html,"13,180",2:20,Golden 1 Center,Sat_Nov_20_2021_Sacramento_Kings,,
"Sun, Nov 21, 2021",3:30p,Dallas Mavericks,91,Los Angeles Clippers,97,https://www.basketball-reference.com/boxscores/202111210LAC.html,"17,149",2:14,Crypto.com Arena,Sun_Nov_21_2021_Los_Angeles_Clippers,,
"Sun, Nov 21, 2021",6:00p,Los Angeles Lakers,121,Detroit Pistons,116,https://www.basketball-reference.com/boxscores/202111210DET.html,"15,532",2:34,Little Caesars Arena,Sun_Nov_21_2021_Detroit_Pistons,,
"Sun, Nov 21, 2021",8:00p,New York Knicks,103,Chicago Bulls,109,https://www.basketball-reference.com/boxscores/202111210CHI.html,"21,813",2:23,United Center,Sun_Nov_21_2021_Chicago_Bulls,,
"Sun, Nov 21, 2021",8:00p,Denver Nuggets,97,Phoenix Suns,126,https://www.basketball-reference.com/boxscores/202111210PHO.html,"16,072",2:14,Phoenix Suns Arena,Sun_Nov_21_2021_Phoenix_Suns,,
"Sun, Nov 21, 2021",8:30p,Toronto Raptors,104,Golden State Warriors,119,https://www.basketball-reference.com/boxscores/202111210GSW.html,"18,064",2:08,Chase Center,Sun_Nov_21_2021_Golden_State_Warriors,,
"Mon, Nov 22, 2021",7:00p,Brooklyn Nets,117,Cleveland Cavaliers,112,https://www.basketball-reference.com/boxscores/202111220CLE.html,"17,387",2:18,Rocket Mortgage Fieldhouse,Mon_Nov_22_2021_Cleveland_Cavaliers,,
"Mon, Nov 22, 2021",7:00p,Charlotte Hornets,109,Washington Wizards,103,https://www.basketball-reference.com/boxscores/202111220WAS.html,"16,575",2:18,Capital One Arena,Mon_Nov_22_2021_Washington_Wizards,,
"Mon, Nov 22, 2021",7:30p,Oklahoma City Thunder,101,Atlanta Hawks,113,https://www.basketball-reference.com/boxscores/202111220ATL.html,"15,806",1:58,State Farm Arena,Mon_Nov_22_2021_Atlanta_Hawks,,
"Mon, Nov 22, 2021",7:30p,Houston Rockets,90,Boston Celtics,108,https://www.basketball-reference.com/boxscores/202111220BOS.html,"19,156",2:08,TD Garden,Mon_Nov_22_2021_Boston_Celtics,,
"Mon, Nov 22, 2021",8:00p,Indiana Pacers,109,Chicago Bulls,77,https://www.basketball-reference.com/boxscores/202111220CHI.html,"21,586",1:59,United Center,Mon_Nov_22_2021_Chicago_Bulls,,
"Mon, Nov 22, 2021",8:00p,Orlando Magic,92,Milwaukee Bucks,123,https://www.basketball-reference.com/boxscores/202111220MIL.html,"17,341",2:05,Fiserv Forum,Mon_Nov_22_2021_Milwaukee_Bucks,,
"Mon, Nov 22, 2021",8:00p,Minnesota Timberwolves,110,New Orleans Pelicans,96,https://www.basketball-reference.com/boxscores/202111220NOP.html,"15,689",2:10,Smoothie King Center,Mon_Nov_22_2021_New_Orleans_Pelicans,,
"Mon, Nov 22, 2021",8:30p,Phoenix Suns,115,San Antonio Spurs,111,https://www.basketball-reference.com/boxscores/202111220SAS.html,"14,715",2:11,AT&T Center,Mon_Nov_22_2021_San_Antonio_Spurs,,
"Mon, Nov 22, 2021",9:00p,Memphis Grizzlies,119,Utah Jazz,118,https://www.basketball-reference.com/boxscores/202111220UTA.html,"18,306",2:17,Vivint Smart Home Arena,Mon_Nov_22_2021_Utah_Jazz,,
"Mon, Nov 22, 2021",10:00p,Philadelphia 76ers,102,Sacramento Kings,94,https://www.basketball-reference.com/boxscores/202111220SAC.html,"13,948",2:12,Golden 1 Center,Mon_Nov_22_2021_Sacramento_Kings,,
"Tue, Nov 23, 2021",7:00p,Miami Heat,100,Detroit Pistons,92,https://www.basketball-reference.com/boxscores/202111230DET.html,"13,123",2:14,Little Caesars Arena,Tue_Nov_23_2021_Detroit_Pistons,,
"Tue, Nov 23, 2021",7:30p,Los Angeles Lakers,100,New York Knicks,106,https://www.basketball-reference.com/boxscores/202111230NYK.html,"19,812",2:26,Madison Square Garden (IV),Tue_Nov_23_2021_New_York_Knicks,,
"Tue, Nov 23, 2021",10:00p,Denver Nuggets,100,Portland Trail Blazers,119,https://www.basketball-reference.com/boxscores/202111230POR.html,"17,052",2:10,Moda Center,Tue_Nov_23_2021_Portland_Trail_Blazers,,
"Tue, Nov 23, 2021",10:30p,Dallas Mavericks,112,Los Angeles Clippers,104,https://www.basketball-reference.com/boxscores/202111230LAC.html,"17,067",2:42,Crypto.com Arena,Tue_Nov_23_2021_Los_Angeles_Clippers,,
"Wed, Nov 24, 2021",7:00p,Phoenix Suns,120,Cleveland Cavaliers,115,https://www.basketball-reference.com/boxscores/202111240CLE.html,"18,055",2:20,Rocket Mortgage Fieldhouse,Wed_Nov_24_2021_Cleveland_Cavaliers,,
"Wed, Nov 24, 2021",7:00p,Los Angeles Lakers,124,Indiana Pacers,116,https://www.basketball-reference.com/boxscores/202111240IND.html,"15,572",2:43,Gainbridge Fieldhouse,Wed_Nov_24_2021_Indiana_Pacers,,
"Wed, Nov 24, 2021",7:00p,Charlotte Hornets,106,Orlando Magic,99,https://www.basketball-reference.com/boxscores/202111240ORL.html,"16,114",2:04,Amway Center,Wed_Nov_24_2021_Orlando_Magic,,
