Game ID,Date,Team_L,PTS_L,Racha_L,Team_V,PTS_V,Racha_V,Cuota_L,Cuota_V,Victoria_Local,PTS_Diff,MP,FG_L,FGA_L,FG%_L,2P_L,2PA_L,2P%_L,3P_L,3PA_L,3P%_L,FT_L,FTA_L,FT%_L,ORB_L,DRB_L,TRB_L,AST_L,STL_L,BLK_L,TOV_L,PF_L,FG_V,FGA_V,FG%_V,2P_V,2PA_V,2P%_V,3P_V,3PA_V,3P%_V,FT_V,FTA_V,FT%_V,ORB_V,DRB_V,TRB_V,AST_V,STL_V,BLK_V,TOV_V,PF_V
Fri_Jan_19_2024_Portland Trail Blazers,2023-10-27,Portland Trail Blazers,118,-2,Indiana Pacers,115,-1,2.39,1.6,1,3,240,42,84,0.5,38,72,0.5277777777777778,4,12,0.333,30,35,0.857,9,38,47,18,3,11,11,21,39,91,0.429,19,44,0.4318181818181818,20,47,0.426,17,25,0.68,6,31,37,34,3,6,14,26
Fri_Jan_26_2024_Atlanta Hawks,2023-10-27,Atlanta Hawks,143,-3,Dallas Mavericks,148,1,1.93,1.89,0,-5,240,51,97,0.526,36,63,0.5714285714285714,15,34,0.441,26,30,0.867,12,24,36,32,7,2,7,24,51,85,0.6,32,50,0.64,19,35,0.543,27,32,0.844,6,31,37,28,3,5,13,25
Fri_Jan_26_2024_Charlotte Hornets,2023-10-25,Charlotte Hornets,104,-5,Houston Rockets,138,5,2.47,1.57,0,-34,240,35,85,0.412,26,56,0.4642857142857143,9,29,0.31,25,32,0.781,5,27,32,20,6,7,13,25,50,89,0.562,37,56,0.6607142857142857,13,33,0.394,25,31,0.806,11,42,53,34,7,10,14,20
Fri_Jan_26_2024_Indiana Pacers,2023-10-25,Indiana Pacers,133,0,Phoenix Suns,131,-4,1.51,2.61,1,2,240,58,109,0.532,50,83,0.6024096385542169,8,26,0.308,9,15,0.6,21,27,48,34,8,3,13,17,51,89,0.573,38,59,0.6440677966101694,13,30,0.433,16,18,0.889,7,31,38,24,8,5,20,17
Fri_Jan_26_2024_Memphis Grizzlies,2023-10-25,Memphis Grizzlies,107,-4,Orlando Magic,106,-2,1.85,1.96,1,1,240,42,90,0.467,27,49,0.5510204081632653,15,41,0.366,8,13,0.615,9,34,43,30,9,7,14,21,38,81,0.469,29,47,0.6170212765957447,9,34,0.265,21,29,0.724,9,31,40,21,8,4,11,14
Fri_Jan_26_2024_Milwaukee Bucks,2023-10-27,Cleveland Cavaliers,112,1,Milwaukee Bucks,100,-1,1.74,2.15,1,12,240,38,92,0.413,24,56,0.42857142857142855,14,36,0.389,22,31,0.71,15,36,51,20,7,8,13,22,35,87,0.402,22,53,0.41509433962264153,13,34,0.382,17,24,0.708,12,39,51,21,6,4,18,24
Fri_Jan_26_2024_New Orleans Pelicans,2023-10-28,New Orleans Pelicans,83,-1,Oklahoma City Thunder,107,5,1.68,2.25,0,-24,240,32,82,0.39,23,46,0.5,9,36,0.25,10,14,0.714,8,33,41,24,9,5,20,16,42,88,0.477,32,55,0.5818181818181818,10,33,0.303,13,14,0.929,6,39,45,22,11,5,13,11
Fri_Jan_26_2024_San Antonio Spurs,2023-10-27,Portland Trail Blazers,100,-3,San Antonio Spurs,116,-1,2.39,1.6,0,-16,240,38,90,0.422,28,53,0.5283018867924528,10,37,0.27,14,19,0.737,8,29,37,23,11,3,15,20,42,92,0.457,32,58,0.5517241379310345,10,34,0.294,22,26,0.846,17,42,59,30,12,5,18,11
Fri_Jan_26_2024_Toronto Raptors,2023-10-25,Los Angeles Clippers,127,5,Toronto Raptors,107,-6,1.23,4.31,1,20,240,48,95,0.505,39,63,0.6190476190476191,9,32,0.281,22,24,0.917,12,38,50,29,6,7,11,17,44,96,0.458,38,64,0.59375,6,32,0.188,13,22,0.591,15,30,45,26,6,3,11,18
Fri_Jan_5_2024_Boston Celtics,2023-10-27,Boston Celtics,126,7,Utah Jazz,97,-1,1.28,3.79,1,29,240,39,90,0.433,22,41,0.5365853658536586,17,49,0.347,31,36,0.861,9,47,56,24,9,8,14,23,34,94,0.362,28,60,0.4666666666666667,6,34,0.176,23,34,0.676,16,41,57,23,11,2,18,24
