Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Wed, Feb 2, 2022",7:00p,Orlando Magic,119,Indiana Pacers,118,https://www.basketball-reference.com/boxscores/202202020IND.html,"14,528",2:24,Gainbridge Fieldhouse
"Wed, Feb 2, 2022",7:00p,Washington Wizards,106,Philadelphia 76ers,103,https://www.basketball-reference.com/boxscores/202202020PHI.html,"20,089",2:11,Wells Fargo Center
"Wed, Feb 2, 2022",7:30p,Charlotte Hornets,107,Boston Celtics,113,https://www.basketball-reference.com/boxscores/202202020BOS.html,"19,156",2:13,TD Garden
"Wed, Feb 2, 2022",7:30p,Memphis Grizzlies,120,New York Knicks,108,https://www.basketball-reference.com/boxscores/202202020NYK.html,"19,812",2:25,Madison Square Garden (IV)
"Wed, Feb 2, 2022",8:00p,Cleveland Cavaliers,104,Houston Rockets,115,https://www.basketball-reference.com/boxscores/202202020HOU.html,"14,163",2:20,Toyota Center
"Wed, Feb 2, 2022",8:30p,Oklahoma City Thunder,120,Dallas Mavericks,114,https://www.basketball-reference.com/boxscores/202202020DAL.html,"19,200",2:21,American Airlines Center
"Wed, Feb 2, 2022",10:00p,Brooklyn Nets,101,Sacramento Kings,112,https://www.basketball-reference.com/boxscores/202202020SAC.html,"13,153",2:00,Golden 1 Center
"Wed, Feb 2, 2022",10:00p,Denver Nuggets,104,Utah Jazz,108,https://www.basketball-reference.com/boxscores/202202020UTA.html,"18,306",2:16,Vivint Smart Home Arena
"Wed, Feb 2, 2022",10:30p,Portland Trail Blazers,94,Los Angeles Lakers,99,https://www.basketball-reference.com/boxscores/202202020LAL.html,"17,259",2:19,Crypto.com Arena
"Thu, Feb 3, 2022",7:00p,Minnesota Timberwolves,128,Detroit Pistons,117,https://www.basketball-reference.com/boxscores/202202030DET.html,"15,523",2:15,Little Caesars Arena
"Thu, Feb 3, 2022",7:00p,Miami Heat,112,San Antonio Spurs,95,https://www.basketball-reference.com/boxscores/202202030SAS.html,"14,971",2:09,AT&T Center
"Thu, Feb 3, 2022",7:30p,Phoenix Suns,115,Atlanta Hawks,124,https://www.basketball-reference.com/boxscores/202202030ATL.html,"16,958",2:16,State Farm Arena
"Thu, Feb 3, 2022",7:30p,Chicago Bulls,120,Toronto Raptors,127,https://www.basketball-reference.com/boxscores/202202030TOR.html,,2:22,Scotiabank Arena
"Thu, Feb 3, 2022",10:00p,Sacramento Kings,114,Golden State Warriors,126,https://www.basketball-reference.com/boxscores/202202030GSW.html,"18,064",2:09,Chase Center
"Thu, Feb 3, 2022",10:00p,Los Angeles Lakers,110,Los Angeles Clippers,111,https://www.basketball-reference.com/boxscores/202202030LAC.html,"19,068",2:21,Crypto.com Arena
"Fri, Feb 4, 2022",7:00p,Cleveland Cavaliers,102,Charlotte Hornets,101,https://www.basketball-reference.com/boxscores/202202040CHO.html,"17,733",2:16,Spectrum Center
"Fri, Feb 4, 2022",7:00p,Boston Celtics,102,Detroit Pistons,93,https://www.basketball-reference.com/boxscores/202202040DET.html,"17,584",2:09,Little Caesars Arena
"Fri, Feb 4, 2022",7:00p,Chicago Bulls,122,Indiana Pacers,115,https://www.basketball-reference.com/boxscores/202202040IND.html,"16,355",2:13,Gainbridge Fieldhouse
"Fri, Feb 4, 2022",7:30p,Atlanta Hawks,114,Toronto Raptors,125,https://www.basketball-reference.com/boxscores/202202040TOR.html,,2:01,Scotiabank Arena
"Fri, Feb 4, 2022",8:30p,Houston Rockets,106,San Antonio Spurs,131,https://www.basketball-reference.com/boxscores/202202040SAS.html,"15,344",2:08,AT&T Center
"Fri, Feb 4, 2022",9:00p,New Orleans Pelicans,113,Denver Nuggets,105,https://www.basketball-reference.com/boxscores/202202040DEN.html,"16,152",2:07,Ball Arena
"Fri, Feb 4, 2022",9:00p,Brooklyn Nets,102,Utah Jazz,125,https://www.basketball-reference.com/boxscores/202202040UTA.html,"18,306",1:56,Vivint Smart Home Arena
"Fri, Feb 4, 2022",10:00p,Philadelphia 76ers,98,Dallas Mavericks,107,https://www.basketball-reference.com/boxscores/202202040DAL.html,"19,200",2:59,American Airlines Center
"Fri, Feb 4, 2022",10:00p,Oklahoma City Thunder,96,Portland Trail Blazers,93,https://www.basketball-reference.com/boxscores/202202040POR.html,"15,329",2:12,Moda Center
"Sat, Feb 5, 2022",5:00p,Memphis Grizzlies,135,Orlando Magic,115,https://www.basketball-reference.com/boxscores/202202050ORL.html,"18,846",2:10,Amway Center
"Sat, Feb 5, 2022",7:00p,Miami Heat,104,Charlotte Hornets,86,https://www.basketball-reference.com/boxscores/202202050CHO.html,"19,420",2:00,Spectrum Center
"Sat, Feb 5, 2022",7:00p,Phoenix Suns,95,Washington Wizards,80,https://www.basketball-reference.com/boxscores/202202050WAS.html,"18,058",2:02,Capital One Arena
"Sat, Feb 5, 2022",8:30p,New York Knicks,115,Los Angeles Lakers,122,https://www.basketball-reference.com/boxscores/202202050LAL.html,"18,997",2:49,Crypto.com Arena
"Sat, Feb 5, 2022",10:00p,Milwaukee Bucks,137,Portland Trail Blazers,108,https://www.basketball-reference.com/boxscores/202202050POR.html,"19,393",2:08,Moda Center
