Date,Start (ET),Visitor Team,Visitor PTS,Home Team,Home PTS,Box Score URL,Attendance,LOG,Arena
"Tue, Oct 18, 2022",7:30p,Philadelphia 76ers,117,Boston Celtics,126,https://www.basketball-reference.com/boxscores/202210180BOS.html,"19,156",2:31,TD Garden
"Tue, Oct 18, 2022",10:00p,Los Angeles Lakers,109,Golden State Warriors,123,https://www.basketball-reference.com/boxscores/202210180GSW.html,"18,064",2:33,Chase Center
"Wed, Oct 19, 2022",7:00p,Orlando Magic,109,Detroit Pistons,113,https://www.basketball-reference.com/boxscores/202210190DET.html,"20,190",2:16,Little Caesars Arena
"Wed, Oct 19, 2022",7:00p,Washington Wizards,114,Indiana Pacers,107,https://www.basketball-reference.com/boxscores/202210190IND.html,"15,027",2:22,Gainbridge Fieldhouse
"Wed, Oct 19, 2022",7:30p,Houston Rockets,107,Atlanta Hawks,117,https://www.basketball-reference.com/boxscores/202210190ATL.html,"17,878",2:05,State Farm Arena
"Wed, Oct 19, 2022",7:30p,New Orleans Pelicans,130,Brooklyn Nets,108,https://www.basketball-reference.com/boxscores/202210190BRK.html,"18,003",2:14,Barclays Center
"Wed, Oct 19, 2022",7:30p,New York Knicks,112,Memphis Grizzlies,115,https://www.basketball-reference.com/boxscores/202210190MEM.html,"18,202",2:36,FedEx Forum
"Wed, Oct 19, 2022",7:30p,Chicago Bulls,116,Miami Heat,108,https://www.basketball-reference.com/boxscores/202210190MIA.html,"19,600",2:20,Kaseya Center
"Wed, Oct 19, 2022",7:30p,Cleveland Cavaliers,105,Toronto Raptors,108,https://www.basketball-reference.com/boxscores/202210190TOR.html,"19,800",2:19,Scotiabank Arena
"Wed, Oct 19, 2022",8:00p,Oklahoma City Thunder,108,Minnesota Timberwolves,115,https://www.basketball-reference.com/boxscores/202210190MIN.html,"17,136",2:21,Target Center
"Wed, Oct 19, 2022",8:00p,Charlotte Hornets,129,San Antonio Spurs,102,https://www.basketball-reference.com/boxscores/202210190SAS.html,"16,236",2:07,AT&T Center
"Wed, Oct 19, 2022",9:00p,Denver Nuggets,102,Utah Jazz,123,https://www.basketball-reference.com/boxscores/202210190UTA.html,"18,206",2:15,Vivint Arena
"Wed, Oct 19, 2022",10:00p,Dallas Mavericks,105,Phoenix Suns,107,https://www.basketball-reference.com/boxscores/202210190PHO.html,"17,071",2:26,Footprint Center
"Wed, Oct 19, 2022",10:00p,Portland Trail Blazers,115,Sacramento Kings,108,https://www.basketball-reference.com/boxscores/202210190SAC.html,"17,611",2:24,Golden 1 Center
"Thu, Oct 20, 2022",7:30p,Milwaukee Bucks,90,Philadelphia 76ers,88,https://www.basketball-reference.com/boxscores/202210200PHI.html,"20,060",2:19,Wells Fargo Center
"Thu, Oct 20, 2022",10:00p,Los Angeles Clippers,103,Los Angeles Lakers,97,https://www.basketball-reference.com/boxscores/202210200LAL.html,"18,997",2:30,Crypto.com Arena
"Fri, Oct 21, 2022",7:00p,New Orleans Pelicans,124,Charlotte Hornets,112,https://www.basketball-reference.com/boxscores/202210210CHO.html,"19,287",2:15,Spectrum Center
"Fri, Oct 21, 2022",7:00p,San Antonio Spurs,137,Indiana Pacers,134,https://www.basketball-reference.com/boxscores/202210210IND.html,"12,073",2:30,Gainbridge Fieldhouse
"Fri, Oct 21, 2022",7:00p,Chicago Bulls,100,Washington Wizards,102,https://www.basketball-reference.com/boxscores/202210210WAS.html,"20,476",2:15,Capital One Arena
"Fri, Oct 21, 2022",7:30p,Orlando Magic,98,Atlanta Hawks,108,https://www.basketball-reference.com/boxscores/202210210ATL.html,"17,822",2:12,State Farm Arena
"Fri, Oct 21, 2022",7:30p,Toronto Raptors,105,Brooklyn Nets,109,https://www.basketball-reference.com/boxscores/202210210BRK.html,"17,732",2:15,Barclays Center
"Fri, Oct 21, 2022",7:30p,Boston Celtics,111,Miami Heat,104,https://www.basketball-reference.com/boxscores/202210210MIA.html,"19,600",2:10,Kaseya Center
"Fri, Oct 21, 2022",7:30p,Detroit Pistons,106,New York Knicks,130,https://www.basketball-reference.com/boxscores/202210210NYK.html,"19,812",2:12,Madison Square Garden (IV)
"Fri, Oct 21, 2022",8:00p,Memphis Grizzlies,129,Houston Rockets,122,https://www.basketball-reference.com/boxscores/202210210HOU.html,"18,055",2:19,Toyota Center
"Fri, Oct 21, 2022",8:00p,Utah Jazz,132,Minnesota Timberwolves,126,https://www.basketball-reference.com/boxscores/202210210MIN.html,"17,136",2:37,Target Center
"Fri, Oct 21, 2022",10:00p,Denver Nuggets,128,Golden State Warriors,123,https://www.basketball-reference.com/boxscores/202210210GSW.html,"18,064",2:31,Chase Center
"Fri, Oct 21, 2022",10:00p,Phoenix Suns,111,Portland Trail Blazers,113,https://www.basketball-reference.com/boxscores/202210210POR.html,"19,393",2:35,Moda Center
"Sat, Oct 22, 2022",6:00p,San Antonio Spurs,114,Philadelphia 76ers,105,https://www.basketball-reference.com/boxscores/202210220PHI.html,"19,822",2:15,Wells Fargo Center
"Sat, Oct 22, 2022",7:00p,Detroit Pistons,115,Indiana Pacers,124,https://www.basketball-reference.com/boxscores/202210220IND.html,"16,056",2:26,Gainbridge Fieldhouse
"Sat, Oct 22, 2022",7:00p,Boston Celtics,126,Orlando Magic,120,https://www.basketball-reference.com/boxscores/202210220ORL.html,"19,299",2:24,Amway Center
"Sat, Oct 22, 2022",8:00p,Cleveland Cavaliers,128,Chicago Bulls,96,https://www.basketball-reference.com/boxscores/202210220CHI.html,"21,089",2:11,United Center
"Sat, Oct 22, 2022",8:00p,Toronto Raptors,109,Miami Heat,112,https://www.basketball-reference.com/boxscores/202210220MIA.html,"19,600",2:29,Kaseya Center
"Sat, Oct 22, 2022",8:00p,Houston Rockets,105,Milwaukee Bucks,125,https://www.basketball-reference.com/boxscores/202210220MIL.html,"17,341",2:11,Fiserv Forum
"Sat, Oct 22, 2022",8:30p,Memphis Grizzlies,96,Dallas Mavericks,137,https://www.basketball-reference.com/boxscores/202210220DAL.html,"20,377",2:18,American Airlines Center
"Sat, Oct 22, 2022",9:00p,Oklahoma City Thunder,117,Denver Nuggets,122,https://www.basketball-reference.com/boxscores/202210220DEN.html,"19,983",2:19,Ball Arena
"Sat, Oct 22, 2022",10:00p,Los Angeles Clippers,111,Sacramento Kings,109,https://www.basketball-reference.com/boxscores/202210220SAC.html,"16,296",2:27,Golden 1 Center
"Sun, Oct 23, 2022",3:30p,Portland Trail Blazers,106,Los Angeles Lakers,104,https://www.basketball-reference.com/boxscores/202210230LAL.html,"18,997",2:28,Crypto.com Arena
"Sun, Oct 23, 2022",5:00p,Charlotte Hornets,126,Atlanta Hawks,109,https://www.basketball-reference.com/boxscores/202210230ATL.html,"17,383",2:20,State Farm Arena
"Sun, Oct 23, 2022",7:00p,Washington Wizards,107,Cleveland Cavaliers,117,https://www.basketball-reference.com/boxscores/202210230CLE.html,"19,432",2:34,Rocket Mortgage Fieldhouse
"Sun, Oct 23, 2022",7:00p,Utah Jazz,122,New Orleans Pelicans,121,https://www.basketball-reference.com/boxscores/202210230NOP.html,"18,665",2:31,Smoothie King Center
"Sun, Oct 23, 2022",8:00p,Minnesota Timberwolves,116,Oklahoma City Thunder,106,https://www.basketball-reference.com/boxscores/202210230OKC.html,"15,044",2:09,Paycom Center
"Sun, Oct 23, 2022",8:30p,Sacramento Kings,125,Golden State Warriors,130,https://www.basketball-reference.com/boxscores/202210230GSW.html,"18,064",2:24,Chase Center
"Sun, Oct 23, 2022",10:00p,Phoenix Suns,112,Los Angeles Clippers,95,https://www.basketball-reference.com/boxscores/202210230LAC.html,"19,068",2:06,Crypto.com Arena
"Mon, Oct 24, 2022",7:00p,Indiana Pacers,106,Philadelphia 76ers,120,https://www.basketball-reference.com/boxscores/202210240PHI.html,"19,786",2:16,Wells Fargo Center
"Mon, Oct 24, 2022",7:30p,Toronto Raptors,98,Miami Heat,90,https://www.basketball-reference.com/boxscores/202210240MIA.html,"19,600",2:13,Kaseya Center
"Mon, Oct 24, 2022",7:30p,Orlando Magic,102,New York Knicks,115,https://www.basketball-reference.com/boxscores/202210240NYK.html,"18,800",2:13,Madison Square Garden (IV)
"Mon, Oct 24, 2022",8:00p,Boston Celtics,102,Chicago Bulls,120,https://www.basketball-reference.com/boxscores/202210240CHI.html,"17,673",2:08,United Center
"Mon, Oct 24, 2022",8:00p,Utah Jazz,108,Houston Rockets,114,https://www.basketball-reference.com/boxscores/202210240HOU.html,"16,260",2:14,Toyota Center
"Mon, Oct 24, 2022",8:00p,Brooklyn Nets,124,Memphis Grizzlies,134,https://www.basketball-reference.com/boxscores/202210240MEM.html,"17,392",2:19,FedEx Forum
"Mon, Oct 24, 2022",8:00p,San Antonio Spurs,115,Minnesota Timberwolves,106,https://www.basketball-reference.com/boxscores/202210240MIN.html,"15,347",2:11,Target Center
